# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for cucumber planted 04-01
#   under underpv_medium (spring season, 85 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 6375
# CROP: cucumber
# PLANTING_DATE: 04-01
# CONDITION: underpv_medium
# SEASON_LENGTH: 85 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-04-01,initial,0.6,0.1,11.47,5.72,5.72,1.0,0.966,9.5,9.5,0.0
full_eto,001,2010,2,2010-04-02,initial,0.6,0.106,13.0,6.45,6.45,1.0,1.0,10.1,19.6,0.0
full_eto,001,2010,3,2010-04-03,initial,0.6,0.112,12.58,6.24,6.24,1.0,1.0,9.8,29.4,0.0
full_eto,001,2010,4,2010-04-04,initial,0.6,0.118,10.32,5.13,5.13,1.0,1.0,9.8,39.2,0.0
full_eto,001,2010,5,2010-04-05,initial,0.6,0.124,9.85,4.91,4.91,1.0,0.916,10.5,49.7,0.0
full_eto,001,2010,6,2010-04-06,initial,0.6,0.13,8.9,4.44,4.44,1.0,0.833,10.4,60.1,0.0
full_eto,001,2010,7,2010-04-07,initial,0.6,0.136,8.54,4.26,4.26,1.0,0.833,10.8,70.8,0.0
full_eto,001,2010,8,2010-04-08,initial,0.6,0.141,8.06,4.02,4.02,1.0,0.788,10.6,81.4,0.0
full_eto,001,2010,9,2010-04-09,initial,0.6,0.147,9.32,4.65,4.65,1.0,0.82,11.4,92.9,0.0
full_eto,001,2010,10,2010-04-10,initial,0.6,0.153,11.27,5.61,5.61,1.0,1.0,13.5,106.4,0.0
full_eto,001,2010,11,2010-04-11,initial,0.6,0.159,10.41,5.17,5.17,1.0,1.0,13.5,119.8,0.0
full_eto,001,2010,12,2010-04-12,initial,0.6,0.165,7.72,3.85,3.85,1.0,0.805,12.4,132.2,0.0
full_eto,001,2010,13,2010-04-13,initial,0.6,0.171,8.56,4.28,4.28,1.0,0.681,11.8,144.0,0.0
full_eto,001,2010,14,2010-04-14,initial,0.6,0.177,9.87,4.92,4.92,1.0,0.862,15.1,159.1,0.0
