# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for onion planted 12-01
#   under underpv_low (fall-winter season, 150 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10655
# CROP: onion
# PLANTING_DATE: 12-01
# CONDITION: underpv_low
# SEASON_LENGTH: 150 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (ETa/ETc)^(1/alpha) * avg_Kt
#   where alpha = 1 + beta*(1.15 - Ky), producing concave water-yield response.
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-12-01,initial,0.7,0.1,5.79,3.51,3.51,1.0,1.0,6.0,6.0,0.0
full_eto,001,2010,2,2010-12-02,initial,0.7,0.105,5.92,3.59,3.59,1.0,1.0,6.3,12.2,0.0
full_eto,001,2010,3,2010-12-03,initial,0.7,0.109,5.84,3.54,3.54,1.0,1.0,6.2,18.4,0.0
full_eto,001,2010,4,2010-12-04,initial,0.7,0.114,5.86,3.55,3.55,1.0,1.0,6.4,24.8,0.0
full_eto,001,2010,5,2010-12-05,initial,0.7,0.119,5.33,3.23,3.23,1.0,1.0,6.7,31.5,0.0
full_eto,001,2010,6,2010-12-06,initial,0.7,0.124,4.72,2.87,2.87,1.0,1.0,6.8,38.4,0.0
full_eto,001,2010,7,2010-12-07,initial,0.7,0.128,4.56,2.77,2.77,1.0,1.0,7.2,45.5,0.0
full_eto,001,2010,8,2010-12-08,initial,0.7,0.133,4.25,2.58,2.58,1.0,1.0,6.8,52.4,0.0
full_eto,001,2010,9,2010-12-09,initial,0.7,0.138,4.84,2.94,2.94,1.0,1.0,7.0,59.4,0.0
full_eto,001,2010,10,2010-12-10,initial,0.7,0.143,4.17,2.53,2.55,1.0,1.0,7.6,67.0,0.0
full_eto,001,2010,11,2010-12-11,initial,0.7,0.147,4.93,3.0,3.04,1.0,1.0,6.1,73.0,0.0
full_eto,001,2010,12,2010-12-12,initial,0.7,0.152,3.31,2.02,2.02,1.0,0.675,4.4,77.4,0.0
full_eto,001,2010,13,2010-12-13,initial,0.7,0.157,3.47,2.12,2.12,1.0,0.608,4.6,82.1,0.0
full_eto,001,2010,14,2010-12-14,initial,0.7,0.162,3.39,2.06,2.06,1.0,0.82,6.6,88.7,0.0
