# SOURCE: Generated from crop parameter files and daily weather data
# DATE: 2026-02-24
# DESCRIPTION: Daily crop growth lookup for tomato planted 02-15
#   under underpv_low (winter-spring season, 135 days).
#   One row per day of season for each (irrigation_policy, weather_year) combination.
#   The final day_of_season row contains the harvest yield in yield_fresh_kg_ha.
# ROWS: 10125
# CROP: tomato
# PLANTING_DATE: 02-15
# CONDITION: underpv_low
# SEASON_LENGTH: 135 days
# IRRIGATION_POLICIES: full_eto (100%), optimal_deficit (80%), deficit_80 (80%), deficit_60 (60%), rainfed (0%)
# UNITS: eto_mm=mm/day, etc_mm=mm/day, water_applied_mm=mm/day,
#   fpar=fraction (0-1), biomass_kg_ha=kg DM/ha/day,
#   cumulative_biomass_kg_ha=kg DM/ha,
#   yield_fresh_kg_ha=kg fresh weight/ha (final day only)
# LOGIC: ETo via Hargreaves (FAO-56 Eq.52). ETc = Kc * ETo_ref * (1-ET_red).
#   Under PV, ETo_ref uses openfield temps to avoid double-counting.
#   Canopy interception fPAR ramps with growth stage (seedling→full canopy).
#   Daily biomass = RUE * PAR * fPAR * Ks * Kt (tracks growth dynamics).
#   Yield = potential_yield * (1 - Ky * deficit) * avg_Kt (FAO Paper 33).
#   PV light/temp attenuation captured in condition-specific weather files.
# DEPENDENCIES: crop_coefficients-research.csv, crop_growth_params-research.csv,
#   yield_response_factors-research.csv, pv_microclimate_factors-research.csv,
#   planting_windows-research.csv, daily_weather_*-research.csv
irrigation_policy,weather_scenario_id,weather_year,day_of_season,date,growth_stage,kc,fpar,eto_mm,etc_mm,water_applied_mm,water_stress_coeff,temp_stress_coeff,biomass_kg_ha,cumulative_biomass_kg_ha,yield_fresh_kg_ha
full_eto,001,2010,1,2010-02-15,initial,0.6,0.1,6.06,3.15,3.15,1.0,1.0,7.9,7.9,0.0
full_eto,001,2010,2,2010-02-16,initial,0.6,0.104,6.93,3.6,3.6,1.0,1.0,8.9,16.8,0.0
full_eto,001,2010,3,2010-02-17,initial,0.6,0.109,6.97,3.62,3.62,1.0,1.0,10.2,27.0,0.0
full_eto,001,2010,4,2010-02-18,initial,0.6,0.113,7.45,3.87,3.87,1.0,1.0,10.8,37.8,0.0
full_eto,001,2010,5,2010-02-19,initial,0.6,0.118,7.46,3.88,3.88,1.0,1.0,11.6,49.4,0.0
full_eto,001,2010,6,2010-02-20,initial,0.6,0.122,7.46,3.88,3.88,1.0,1.0,12.3,61.7,0.0
full_eto,001,2010,7,2010-02-21,initial,0.6,0.126,7.52,3.91,3.91,1.0,1.0,13.0,74.8,0.0
full_eto,001,2010,8,2010-02-22,initial,0.6,0.131,5.78,3.01,3.01,1.0,1.0,12.4,87.1,0.0
full_eto,001,2010,9,2010-02-23,initial,0.6,0.135,6.17,3.21,3.22,1.0,0.988,13.1,100.2,0.0
full_eto,001,2010,10,2010-02-24,initial,0.6,0.14,6.57,3.42,3.42,1.0,0.968,12.6,112.8,0.0
full_eto,001,2010,11,2010-02-25,initial,0.6,0.144,6.92,3.6,3.75,1.0,1.0,10.8,123.7,0.0
full_eto,001,2010,12,2010-02-26,initial,0.6,0.148,4.79,2.5,2.59,1.0,0.721,8.4,132.0,0.0
full_eto,001,2010,13,2010-02-27,initial,0.6,0.153,5.92,3.09,3.09,1.0,0.746,11.8,143.8,0.0
full_eto,001,2010,14,2010-02-28,initial,0.6,0.157,7.57,3.94,3.94,1.0,0.948,12.6,156.4,0.0
full_eto,001,2010,15,2010-03-01,initial,0.6,0.162,6.74,3.52,3.54,1.0,0.712,11.9,168.3,0.0
full_eto,001,2010,16,2010-03-02,initial,0.6,0.166,7.25,3.77,3.77,1.0,1.0,17.8,186.1,0.0
full_eto,001,2010,17,2010-03-03,initial,0.6,0.17,7.63,3.97,3.97,1.0,1.0,17.0,203.1,0.0
full_eto,001,2010,18,2010-03-04,initial,0.6,0.175,7.96,4.15,4.15,1.0,0.952,18.7,221.8,0.0
full_eto,001,2010,19,2010-03-05,initial,0.6,0.179,7.81,4.06,4.06,1.0,1.0,18.0,239.8,0.0
